,ITEM_CTG_ID,ITEM_CTG_DESC,ITEM_GRP_ID,ITEM_GRP_DESC,GINNO,GINDATE,ENTITY,SEGMENT,COST_CENTER,C_CENTER_ID,C_CENTER_NAME,JOBNO,UNITNO,RATE,MACHINENO1,MARATE,REMARKS,CAPITAL,QUANTITY,ITEMNO,INVENTORY_ITEM_NO,INV_ITEM_DESCRIPTION,UOM_DESC,AMOUNT1,BAL1,MDESC1,LASTISSUE1,LASTISSUEDT,COSTCENTER,SUMQTY,SUMAMT,GAP,GAMOUNT,CODE1,CODE2,GQTY,PERIOD
1,2,ADHESIVES & SOLUTIONS,19,"HARDWARE MATERIAL, PIPE & FITTINGS",789512,12-Oct-20,,,40474,40474,YTML-Stitching-YTM-07-General-Sewing-General,,,190.0,,,FOR CARPENTER (GENERAL),,10.0,16198,16198,WHITE GLUE GERMAN (Consumable-Local),KGS,1900.0,0.0,,,,,10.0,1900.0,,38086160.02,,,783755340.3,
4,2,ADHESIVES & SOLUTIONS,19,"HARDWARE MATERIAL, PIPE & FITTINGS",858842,19-Jul-21,,,40474,40474,YTML-Stitching-YTM-07-General-Sewing-General,,,277.2,,,,,10.0,16197,16197,WHITE GLUE (Consumable-Local),KGS,2772.0,0.0,,,,,10.0,2772.0,,38086160.02,,,783755340.3,
14,6,AIR CONDITIONER,22,ELECTRICAL EQUIPMENT,794372,31-Oct-20,,,40474,40474,YTML-Stitching-YTM-07-General-Sewing-General,,,65641.0,,,,,2.0,42987,42987,AIR CONDITIONER 1.5 TON (GREE G10 INVERTER) (Fixed-Local),NOS,131282.0,0.0,,,,,2.0,131282.0,,38086160.02,,,783755340.3,
37,9,ANGLE,19,"HARDWARE MATERIAL, PIPE & FITTINGS",798198,17-Nov-20,,,40474,40474,YTML-Stitching-YTM-07-General-Sewing-General,,,162.0,,,,,80.0,5701322001,5701322001,"MS ANGLE 2""X2""X1/4"" (---) (L-F) (Fixed-Local)",RFT,12960.0,0.0,,,,,80.0,12960.0,,38086160.02,,,783755340.3,
46,13,ASSEMBLY,11,SPARE PARTS,661928,26-Feb-19,,,40474,40474,YTML-Stitching-YTM-07-General-Sewing-General,,,180.0,,,,,1.0,22639,22639,FEED BAR ASSEMBLY (SO2569121) (BROTHER S/N MACHINE S-6200A) (Consumable-Imported),PCS,180.0,0.0,,,,,1.0,180.0,,38086160.02,,,783755340.3,
47,13,ASSEMBLY,11,SPARE PARTS,676763,11-Jun-19,,,40474,40474,YTML-Stitching-YTM-07-General-Sewing-General,,,623.57,,,,,2.0,22596,22596,FEED BAR ASSEMBLY (PART # S02569121) (BROTHER S/N MODEL # S6200A) (Consumable-Local),PCS,1247.14,0.0,,,,,2.0,1247.14,,38086160.02,,,783755340.3,
60,23,BAR,11,SPARE PARTS,648090,03-Jan-19,,,40474,40474,YTML-Stitching-YTM-07-General-Sewing-General,,,95.0,,,FOR BOTH BUILDING USE IN SEWING MACHINES,,3.0,43093,43093,NEEDLE BAR P # 110-91303 WITH BUSH P # B1403-553 S/N (Consumable-Local),NOS,285.0,0.0,,,,,3.0,285.0,,38086160.02,,,783755340.3,
71,23,BAR,11,SPARE PARTS,789855,13-Oct-20,,,40474,40474,YTML-Stitching-YTM-07-General-Sewing-General,,,160.0,,,,,1.0,20078,20078,NEEDLE BAR BUSH DELTA (COMFORTER (Consumable-Local),PCS,160.0,2.0,,,,,1.0,160.0,,38086160.02,,,783755340.3,
105,23,BAR,11,SPARE PARTS,858267,16-Jul-21,,,40474,40474,YTML-Stitching-YTM-07-General-Sewing-General,,,80.0,,,,,5.0,20077,20077,NEEDLE BAR BUSH (SINGLE NEEDLE) (Consumable-Local),PCS,400.0,5.0,,,,,9.0,1104.92,,38086160.02,,,783755340.3,
106,23,BAR,11,SPARE PARTS,858267,16-Jul-21,,,40474,40474,YTML-Stitching-YTM-07-General-Sewing-General,,,176.23,,,,,4.0,43093,43093,NEEDLE BAR P # 110-91303 WITH BUSH P # B1403-553 S/N (Consumable-Local),NOS,704.92,8.0,,,,,9.0,1104.92,,38086160.02,,,783755340.3,
152,32,BELT,11,SPARE PARTS,648090,03-Jan-19,,,40474,40474,YTML-Stitching-YTM-07-General-Sewing-General,,,75.0,,,FOR BOTH BUILDING USE IN SEWING MACHINES,,5.0,21414,21414,V BELT RUBBER 41 (JUKI) (Consumable-Local),PCS,375.0,13.0,,,,,7.0,525.0325,,38086160.02,,,783755340.3,
153,32,BELT,11,SPARE PARTS,648090,03-Jan-19,,,40474,40474,YTML-Stitching-YTM-07-General-Sewing-General,,,75.01625,,,FOR BOTH BUILDING USE IN SEWING MACHINES,,2.0,21415,21415,V BELT RUBBER 42 (JUKI) (Consumable-Local),PCS,150.0325,16.0,,,,,7.0,525.0325,,38086160.02,,,783755340.3,
154,32,BELT,11,SPARE PARTS,661928,26-Feb-19,,,40474,40474,YTML-Stitching-YTM-07-General-Sewing-General,,,40.0,,,,,2.0,19567,19567,FRONT PULLY FOR BELT (M-179) (CUTT (Consumable-Local),PCS,80.0,6.0,,,,,2.0,80.0,,38086160.02,,,783755340.3,
155,32,BELT,11,SPARE PARTS,685361,12-Jun-19,,,40474,40474,YTML-Stitching-YTM-07-General-Sewing-General,,,40.0,,,,,6.0,19567,19567,FRONT PULLY FOR BELT (M-179) (CUTT (Consumable-Local),PCS,240.0,0.0,,,,,6.0,240.0,,38086160.02,,,783755340.3,
156,32,BELT,11,SPARE PARTS,701648,20-Aug-19,,,40474,40474,YTML-Stitching-YTM-07-General-Sewing-General,,,75.0,,,,,2.0,21414,21414,V BELT RUBBER 41 (JUKI) (Consumable-Local),PCS,150.0,11.0,,,,,8.0,1750.0325,,38086160.02,,,783755340.3,
157,32,BELT,11,SPARE PARTS,701648,20-Aug-19,,,40474,40474,YTML-Stitching-YTM-07-General-Sewing-General,,,75.0,,,,,2.0,21406,21406,V BELT 35 (JUKI) (Consumable-Local),PCS,150.0,16.0,,,,,8.0,1750.0325,,38086160.02,,,783755340.3,
158,32,BELT,11,SPARE PARTS,701648,20-Aug-19,,,40474,40474,YTML-Stitching-YTM-07-General-Sewing-General,,,650.0,,,,,2.0,21302,21302,TIMING BELT (HTD 600 5M) (DELTA MAC (Consumable-Local),PCS,1300.0,4.0,,,,,8.0,1750.0325,,38086160.02,,,783755340.3,
159,32,BELT,11,SPARE PARTS,701648,20-Aug-19,,,40474,40474,YTML-Stitching-YTM-07-General-Sewing-General,,,75.01625,,,,,2.0,21415,21415,V BELT RUBBER 42 (JUKI) (Consumable-Local),PCS,150.0325,14.0,,,,,8.0,1750.0325,,38086160.02,,,783755340.3,
223,32,BELT,21,GENERAL MATERIAL,801055,26-Nov-20,,,40474,40474,YTML-Stitching-YTM-07-General-Sewing-General,,,850.0,,,,,6.0,6051321001,6051321001,SAFETY BELT MODEL.  NP737 DOUBLE LOCK HOOK TWO D RING FS ONE BUCKLE (---) (L-C) (Consumable-Local),NOS,5100.0,0.0,,,,,6.0,5100.0,,38086160.02,,,783755340.3,
234,34,BIN,21,GENERAL MATERIAL,768066,09-Jul-20,,,40474,40474,YTML-Stitching-YTM-07-General-Sewing-General,,,465.0,,,,,1.0,28482,28482,PLASTIC DUST BIN WITH PADEL (MEDIUM SIZE) (Consumable-Local),NOS,465.0,1.0,,,,,1.0,465.0,,38086160.02,,,783755340.3,
238,34,BIN,21,GENERAL MATERIAL,794351,02-Nov-20,,,40474,40474,YTML-Stitching-YTM-07-General-Sewing-General,,,2800.0,,,,,5.0,7176621002,7176621002,DUST BIN 100 LTR (CHERRY PLASTIC) (L-C) (Consumable-Local),NOS,14000.0,0.0,,,,,5.0,14000.0,,38086160.02,,,783755340.3,
246,35,BIT,16,TOOLS & INSTRUMENTS,789512,12-Oct-20,,,40474,40474,YTML-Stitching-YTM-07-General-Sewing-General,,,65.0,,,FOR CARPENTER (GENERAL),,6.0,4218,4218,DRILL BIT 5 MM (MS) (Consumable-Local),NOS,390.0,0.0,,,,,12.0,654.0,,38086160.02,,,783755340.3,
247,35,BIT,16,TOOLS & INSTRUMENTS,789512,12-Oct-20,,,40474,40474,YTML-Stitching-YTM-07-General-Sewing-General,,,44.0,,,FOR CARPENTER (GENERAL),,6.0,4216,4216,DRILL BIT 4 MM (MS) (Consumable-Local),NOS,264.0,0.0,,,,,12.0,654.0,,38086160.02,,,783755340.3,
279,39,BLOCK,18,MECHANICAL,789688,13-Oct-20,,,40474,40474,YTML-Stitching-YTM-07-General-Sewing-General,,,2000.0,,,5 BLOCK FOR A BUILDING & 5 BLOCK FOR B BUILDING,,10.0,7327221013,7327221013,CALIBRATION BLOCK FOR NEEDLE DETECTOR MULTIPLE MODELS (AOLITE) (L-C) (Consumable-Local),NOS,20000.0,0.0,,,,,10.0,20000.0,,38086160.02,,,783755340.3,
286,41,BOARD,21,GENERAL MATERIAL,792596,27-Oct-20,,,40474,40474,YTML-Stitching-YTM-07-General-Sewing-General,,,745.0,,,,,30.0,45228,45228,WHITE BOARD 2' X 3' (Consumable-Local),NOS,22350.0,0.0,,,,,30.0,22350.0,,38086160.02,,,783755340.3,
301,42,BOBBIN,11,SPARE PARTS,648090,03-Jan-19,,,40474,40474,YTML-Stitching-YTM-07-General-Sewing-General,,,5.0,,,FOR BOTH BUILDING USE IN SEWING MACHINES,,2.0,18873,18873,BOBIN (JUKI) (Consumable-Local),PCS,10.0,198.0,,,,,2.0,10.0,,38086160.02,,,783755340.3,
302,42,BOBBIN,11,SPARE PARTS,661928,26-Feb-19,,,40474,40474,YTML-Stitching-YTM-07-General-Sewing-General,,,5.0,,,,,25.0,18873,18873,BOBIN (JUKI) (Consumable-Local),PCS,125.0,173.0,,,,,25.0,125.0,,38086160.02,,,783755340.3,
303,42,BOBBIN,11,SPARE PARTS,673813,18-Apr-19,,,40474,40474,YTML-Stitching-YTM-07-General-Sewing-General,,,5.0,,,FOR STITCHING FIRST FLOOR B.A,,18.0,18873,18873,BOBIN (JUKI) (Consumable-Local),PCS,90.0,155.0,,,,,18.0,90.0,,38086160.02,,,783755340.3,
304,42,BOBBIN,11,SPARE PARTS,676763,11-Jun-19,,,40474,40474,YTML-Stitching-YTM-07-General-Sewing-General,,,5.0,,,,,100.0,18873,18873,BOBIN (JUKI) (Consumable-Local),PCS,500.0,55.0,,,,,100.0,500.0,,38086160.02,,,783755340.3,
305,42,BOBBIN,11,SPARE PARTS,701648,20-Aug-19,,,40474,40474,YTML-Stitching-YTM-07-General-Sewing-General,,,5.0,,,,,30.0,18873,18873,BOBIN (JUKI) (Consumable-Local),PCS,150.0,25.0,,,,,30.0,150.0,,38086160.02,,,783755340.3,
306,42,BOBBIN,11,SPARE PARTS,709217,03-Oct-19,,,40474,40474,YTML-Stitching-YTM-07-General-Sewing-General,,,5.0,,,FOR BLOCK A,,25.0,18873,18873,BOBIN (JUKI) (Consumable-Local),PCS,125.0,0.0,,,,,25.0,125.0,,38086160.02,,,783755340.3,
325,42,BOBBIN,11,SPARE PARTS,766752,06-Jul-20,,,40474,40474,YTML-Stitching-YTM-07-General-Sewing-General,,,65.0,,,WITHOUT REPLACE,,5.0,18878,18878,BOBIN CASE (B-1837-012-OAO)(JUKI)  (Consumable-Local),PCS,325.0,7.0,,,,,5.0,325.0,,38086160.02,,,783755340.3,
