ITEM_CTG_ID,ITEM_CTG_DESC,ITEM_GRP_ID,ITEM_GRP_DESC,GINNO,GINDATE,ENTITY,SEGMENT,COST_CENTER,C_CENTER_ID,C_CENTER_NAME,JOBNO,UNITNO,RATE,MACHINENO1,MARATE,REMARKS,CAPITAL,QUANTITY,ITEMNO,INVENTORY_ITEM_NO,INV_ITEM_DESCRIPTION,UOM_DESC,AMOUNT1,BAL1,MDESC1,LASTISSUE1,LASTISSUEDT,COSTCENTER,SUMQTY,SUMAMT,GAP,GAMOUNT,CODE1,CODE2,GQTY,PERIOD
2,ADHESIVES & SOLUTIONS,19,"HARDWARE MATERIAL, PIPE & FITTINGS",772030,07-Aug-20,,,90174,90174,YTML-Stitching-YTM-07-General-General-General,,,190,,,,,5,16198,16198,WHITE GLUE GERMAN (Consumable-Local),KGS,950,0,,,,,5,950,,38086160.02,,,783755340.3,
2,ADHESIVES & SOLUTIONS,19,"HARDWARE MATERIAL, PIPE & FITTINGS",789512,12-Oct-20,,,40474,40474,YTML-Stitching-YTM-07-General-Sewing-General,,,190,,,FOR CARPENTER (GENERAL),,10,16198,16198,WHITE GLUE GERMAN (Consumable-Local),KGS,1900,0,,,,,10,1900,,38086160.02,,,783755340.3,
2,ADHESIVES & SOLUTIONS,19,"HARDWARE MATERIAL, PIPE & FITTINGS",827427,09-Mar-21,,,90248,90248,YTML-Stitching-YTM-07-Stitching - Central-Cutting-General,,,510,,,,,2,7979,7979,MAGIC DEPOXY STEEL LARGE (Consumable-Local),NOS,1020,5,,,,,2,1020,,38086160.02,,,783755340.3,
2,ADHESIVES & SOLUTIONS,19,"HARDWARE MATERIAL, PIPE & FITTINGS",835661,12-Apr-21,,,90176,90176,YTML-Stitching-YTM-07-Poly Fill Plant-General-General,,,510,,,for polyfill plant,,3,7979,7979,MAGIC DEPOXY STEEL LARGE (Consumable-Local),NOS,1530,2,,,,,3,1530,,38086160.02,,,783755340.3,
2,ADHESIVES & SOLUTIONS,19,"HARDWARE MATERIAL, PIPE & FITTINGS",858842,19-Jul-21,,,40474,40474,YTML-Stitching-YTM-07-General-Sewing-General,,,277.2,,,,,10,16197,16197,WHITE GLUE (Consumable-Local),KGS,2772,0,,,,,10,2772,,38086160.02,,,783755340.3,
2,ADHESIVES & SOLUTIONS,19,"HARDWARE MATERIAL, PIPE & FITTINGS",878561,13-Oct-21,,,90192,90192,YTML-Stitching-YTM-07-UNIT 24 YTM 7 Bldg A-Second Floor-Sewing-General,,,85,,,,,4,7978,7978,MAGIC DEPOXY STEEL (Consumable-Local),NOS,340,18,,,,,4,340,,38086160.02,,,783755340.3,
2,ADHESIVES & SOLUTIONS,19,"HARDWARE MATERIAL, PIPE & FITTINGS",884034,01-Nov-21,,,90310,90310,YTML-Stitching-YTM-07-UNIT 42 YTM 7 Bldg F-Second Floor-Sewing-General,,,85,,,,,4,7978,7978,MAGIC DEPOXY STEEL (Consumable-Local),NOS,340,14,,,,,4,340,,38086160.02,,,783755340.3,
2,ADHESIVES & SOLUTIONS,21,GENERAL MATERIAL,810548,07-Jan-21,,,90248,90248,YTML-Stitching-YTM-07-Stitching - Central-Cutting-General,,,435,,,,,8,13445,13445,SOLUTION 1 KG TIN CEMENTEX (Consumable-Local),KGS,3480,0,,,,,8,3480,,38086160.02,,,783755340.3,
2,ADHESIVES & SOLUTIONS,21,GENERAL MATERIAL,889770,22-Nov-21,,,90310,90310,YTML-Stitching-YTM-07-UNIT 42 YTM 7 Bldg F-Second Floor-Sewing-General,,,435,,,,,10,13445,13445,SOLUTION 1 KG TIN CEMENTEX (Consumable-Local),KGS,4350,0,,,,,10,4350,,38086160.02,,,783755340.3,
3,ADJUSTER,17,ELECTRICAL,838826,24-Apr-21,,,90267,90267,YTML-Stitching-YTM-07-UNIT 33 YTM 7 Bldg E-Second Floor-Sewing-General,,,7695,,,,,4,7569022001,7569022001,ADJUSTABLE MCCB TP 100A LS  37KA (....) (L-F) (Fixed-Local),NOS,30780,0,,,,,4,30780,,38086160.02,,,783755340.3,
6,AIR CONDITIONER,22,ELECTRICAL EQUIPMENT,761552,12-Jun-20,,,90175,90175,YTML-Stitching-YTM-07-General-Cutting-General,,,97435.89,,,,,4,7183322005,7183322005,SPLIT AIR CONDITIONER 2 TON WITH INVERTER (GREE) (L-F) (Fixed-Local),NOS,389743.56,0,,,,,5,460598.26,,38086160.02,,,783755340.3,
6,AIR CONDITIONER,22,ELECTRICAL EQUIPMENT,761552,12-Jun-20,,,90175,90175,YTML-Stitching-YTM-07-General-Cutting-General,,,70854.7,,,,,1,39761,39761,AIR CONDITIONER 1.5 TON SPLIT GREE INVERTER TYPE (Fixed-Local),NOS,70854.7,2,,,,,5,460598.26,,38086160.02,,,783755340.3,
6,AIR CONDITIONER,22,ELECTRICAL EQUIPMENT,772180,04-Aug-20,,,90175,90175,YTML-Stitching-YTM-07-General-Cutting-General,,,70854.7,,,,,1,39761,39761,AIR CONDITIONER 1.5 TON SPLIT GREE INVERTER TYPE (Fixed-Local),NOS,70854.7,1,,,,,1,70854.7,,38086160.02,,,783755340.3,
