,ITEM_CTG_ID,ITEM_CTG_DESC,ITEM_GRP_ID,ITEM_GRP_DESC,GINNO,GINDATE,ENTITY,SEGMENT,COST_CENTER,C_CENTER_ID,C_CENTER_NAME,JOBNO,UNITNO,RATE,MACHINENO1,MARATE,REMARKS,CAPITAL,QUANTITY,ITEMNO,INVENTORY_ITEM_NO,INV_ITEM_DESCRIPTION,UOM_DESC,AMOUNT1,BAL1,MDESC1,LASTISSUE1,LASTISSUEDT,COSTCENTER,SUMQTY,SUMAMT,GAP,GAMOUNT,CODE1,CODE2,GQTY,PERIOD
1810,156,DISC,19,"HARDWARE MATERIAL, PIPE & FITTINGS",820859,13-Feb-21,,,90235,90235,YTML-Stitching-YTM-07-UNIT 29 YTM 7 Bldg B-Third Floor-General-General,,,108.0,,,,,50.0,35187,35187,"CUTTING DISK (M.S), 4""-1MM (RHODIUS) (Consumable-Local)",NOS,5400.0,48.0,,,,,50.0,5400.0,,38086160.02,,,783755340.3,
1980,189,FILE,20,STATIONARY,793932,29-Oct-20,,,90235,90235,YTML-Stitching-YTM-07-UNIT 29 YTM 7 Bldg B-Third Floor-General-General,,,88.2,,,,,3.0,22457,22457,BOX FILE KORONA (Consumable-Local),PCS,264.6,12.0,,,,,11.0,840.6,,38086160.02,,,783755340.3,
1981,189,FILE,20,STATIONARY,793932,29-Oct-20,,,90235,90235,YTML-Stitching-YTM-07-UNIT 29 YTM 7 Bldg B-Third Floor-General-General,,,72.0,,,,,3.0,5005,5005,FIBRE PAPER CLIP FILE (Consumable-Local),NOS,216.0,17.0,,,,,11.0,840.6,,38086160.02,,,783755340.3,
1982,189,FILE,20,STATIONARY,793932,29-Oct-20,,,90235,90235,YTML-Stitching-YTM-07-UNIT 29 YTM 7 Bldg B-Third Floor-General-General,,,72.0,,,,,5.0,16707,16707,FILE (RING FILE) (Consumable-Local),NOS,360.0,34.0,,,,,11.0,840.6,,38086160.02,,,783755340.3,
2497,206,GENERAL,21,GENERAL MATERIAL,773997,05-Aug-20,,,90235,90235,YTML-Stitching-YTM-07-UNIT 29 YTM 7 Bldg B-Third Floor-General-General,,,170.0,,,,,1.0,19671,19671,GUM STICK UHU LARGE (Consumable-Local),PCS,170.0,6.0,,,,,3.0,225.0,,38086160.02,,,783755340.3,
2498,206,GENERAL,21,GENERAL MATERIAL,773997,05-Aug-20,,,90235,90235,YTML-Stitching-YTM-07-UNIT 29 YTM 7 Bldg B-Third Floor-General-General,,,27.5,,,,,2.0,19383,19383,ERASER AL-30(PELIKEN) (I NO.2161) (Consumable-Local),PCS,55.0,10.0,,,,,3.0,225.0,,38086160.02,,,783755340.3,
2589,206,GENERAL,21,GENERAL MATERIAL,793932,29-Oct-20,,,90235,90235,YTML-Stitching-YTM-07-UNIT 29 YTM 7 Bldg B-Third Floor-General-General,,,8.8,,,,,3.0,21287,21287,THUMB PIN (I NO.2219) (Consumable-Local),PKT,26.4,52.0,,,,,3.0,26.4,,38086160.02,,,783755340.3,
3359,246,INK,20,STATIONARY,773997,05-Aug-20,,,90235,90235,YTML-Stitching-YTM-07-UNIT 29 YTM 7 Bldg B-Third Floor-General-General,,,30.0,,,,,3.0,8118,8118,MARKER INK BLACK DOLLAR (Consumable-Local),NOS,90.0,0.0,,,,,3.0,90.0,,38086160.02,,,783755340.3,
4083,283,MACHINE,1,PLANT & MACHINERY,829898,22-Mar-21,,,90235,90235,YTML-Stitching-YTM-07-UNIT 29 YTM 7 Bldg B-Third Floor-General-General,,,1050366.96,,,,,1.0,7373012037,7373012037,"NEEDLE DETECTOR  MACHINE WIDTH 813MM, HEIGHT 280MM SENSIVITY 1.5MM MODEL HD-680A (JAPSEW) (I-F) (Fixed-Imported)",NOS,1050366.96,0.0,,,,,1.0,1050366.96,,38086160.02,,,783755340.3,
9873,443,STATIONERY,20,STATIONARY,773997,05-Aug-20,,,90235,90235,YTML-Stitching-YTM-07-UNIT 29 YTM 7 Bldg B-Third Floor-General-General,,,7.946305556,,,,,10.0,9821,9821,PENCIL DUX (Consumable-Local),NOS,79.46305556,34.0,,,,,43.0,920.9130556,,38086160.02,,,783755340.3,
