,ITEM_CTG_ID,ITEM_CTG_DESC,ITEM_GRP_ID,ITEM_GRP_DESC,GINNO,GINDATE,ENTITY,SEGMENT,COST_CENTER,C_CENTER_ID,C_CENTER_NAME,JOBNO,UNITNO,RATE,MACHINENO1,MARATE,REMARKS,CAPITAL,QUANTITY,ITEMNO,INVENTORY_ITEM_NO,INV_ITEM_DESCRIPTION,UOM_DESC,AMOUNT1,BAL1,MDESC1,LASTISSUE1,LASTISSUEDT,COSTCENTER,SUMQTY,SUMAMT,GAP,GAMOUNT,CODE1,CODE2,GQTY,PERIOD
0,2,ADHESIVES & SOLUTIONS,19,"HARDWARE MATERIAL, PIPE & FITTINGS",772030,07-Aug-20,,,90174,90174,YTML-Stitching-YTM-07-General-General-General,,,190.0,,,,,5.0,16198,16198,WHITE GLUE GERMAN (Consumable-Local),KGS,950.0,0.0,,,,,5.0,950.0,,38086160.02,,,783755340.3,
131,26,BATTERY,21,GENERAL MATERIAL,762143,13-Jun-20,,,90174,90174,YTML-Stitching-YTM-07-General-General-General,,,21220.0,,,,,2.0,917,917,BATTERY H52 210AH/200AH 12 V N245 EXIDE (Consumable-Local),NOS,42440.0,0.0,,,,,2.0,42440.0,,38086160.02,,,783755340.3,
232,34,BIN,21,GENERAL MATERIAL,759738,03-Jun-20,,,90174,90174,YTML-Stitching-YTM-07-General-General-General,,,465.0,,,,,2.0,28482,28482,PLASTIC DUST BIN WITH PADEL (MEDIUM SIZE) (Consumable-Local),NOS,930.0,7.0,,,,,2.0,930.0,,38086160.02,,,783755340.3,
233,34,BIN,21,GENERAL MATERIAL,760623,08-Jun-20,,,90174,90174,YTML-Stitching-YTM-07-General-General-General,,,465.0,,,,,5.0,28482,28482,PLASTIC DUST BIN WITH PADEL (MEDIUM SIZE) (Consumable-Local),NOS,2325.0,2.0,,,,,5.0,2325.0,,38086160.02,,,783755340.3,
267,35,BIT,16,TOOLS & INSTRUMENTS,859228,19-Jul-21,,,90174,90174,YTML-Stitching-YTM-07-General-General-General,,,4100.0,,,,,1.0,21680,21680,DRILL BIT BOX SET DORMER (Consumable-Local),SET,4100.0,1.0,,,,,1.0,4100.0,,38086160.02,,,783755340.3,
561,45,BOLT/NUT,19,"HARDWARE MATERIAL, PIPE & FITTINGS",760623,08-Jun-20,,,90174,90174,YTML-Stitching-YTM-07-General-General-General,,,28.0,,,,,30.0,53210,53210,RAWAL BOLT 10MM (Consumable-Local),NOS,840.0,0.0,,,,,30.0,840.0,,38086160.02,,,783755340.3,
960,53,BREAKER,17,ELECTRICAL,818998,04-Feb-21,,,90174,90174,YTML-Stitching-YTM-07-General-General-General,,,17400.0,,,,,1.0,5688121007,5688121007,CIRCUIT BREAKER 160AMP CAT-A CBCE UE 690V UI 800V 8KV 50/60HZ EX9M1-S(MCCB) (NOARK) (L-C) (Consumable-Local),NOS,17400.0,5.0,,,,,5.0,81790.0,,38086160.02,,,783755340.3,
961,53,BREAKER,17,ELECTRICAL,818998,04-Feb-21,,,90174,90174,YTML-Stitching-YTM-07-General-General-General,,,9470.0,,,,,3.0,5687621004,5687621004,CIRCUIT BREAKER 100AMP 3-POLE 8KV COMPACT NSX 100F UI 800V UIMP (MCCB) (SCHNEIDER) (L-C) (Consumable-Local),NOS,28410.0,0.0,,,,,5.0,81790.0,,38086160.02,,,783755340.3,
962,53,BREAKER,17,ELECTRICAL,818998,04-Feb-21,,,90174,90174,YTML-Stitching-YTM-07-General-General-General,,,35980.0,,,,,1.0,7232221004,7232221004,"CIRCUIT BREAKER EASY PACT MODEL# CVS400F, 8KV, 220/240 40KA, 380/415 36KA, 400 A, 3P 3D (SCHNEIDER) (L-C) (Consumable-Local)",NOS,35980.0,0.0,,,,,5.0,81790.0,,38086160.02,,,783755340.3,
985,58,BRUSH,19,"HARDWARE MATERIAL, PIPE & FITTINGS",781069,07-Sep-20,,,90174,90174,YTML-Stitching-YTM-07-General-General-General,,,330.0,,,,,10.0,36323,36323,"PAINT BRUSH 4"" (DOUBLE PLY SUPER) ELITE (Consumable-Local)",NOS,3300.0,0.0,,,,,30.0,7000.0,,38086160.02,,,783755340.3,
986,58,BRUSH,19,"HARDWARE MATERIAL, PIPE & FITTINGS",781069,07-Sep-20,,,90174,90174,YTML-Stitching-YTM-07-General-General-General,,,140.0,,,,,10.0,30055,30055,"PAINT BRUSH 2""  ELITE (Consumable-Local)",NOS,1400.0,0.0,,,,,30.0,7000.0,,38086160.02,,,783755340.3,
987,58,BRUSH,19,"HARDWARE MATERIAL, PIPE & FITTINGS",781069,07-Sep-20,,,90174,90174,YTML-Stitching-YTM-07-General-General-General,,,230.0,,,,,10.0,30056,30056,"PAINT BRUSH 3"" ELITE (Consumable-Local)",NOS,2300.0,0.0,,,,,30.0,7000.0,,38086160.02,,,783755340.3,
1033,60,BULB/LIGHT/LAMP,17,ELECTRICAL,759738,03-Jun-20,,,90174,90174,YTML-Stitching-YTM-07-General-General-General,,,3000.0,,,,,15.0,5050521001,5050521001,EMERGENCY LIGHT DUAL HEAD M# EXL 950 (---) (L-C) (Consumable-Local),NOS,45000.0,10.0,,,,,15.0,45000.0,,38086160.02,,,783755340.3,
1034,60,BULB/LIGHT/LAMP,17,ELECTRICAL,760623,08-Jun-20,,,90174,90174,YTML-Stitching-YTM-07-General-General-General,,,3000.0,,,,,10.0,5050521001,5050521001,EMERGENCY LIGHT DUAL HEAD M# EXL 950 (---) (L-C) (Consumable-Local),NOS,30000.0,0.0,,,,,10.0,30000.0,,38086160.02,,,783755340.3,
1109,68,CABLE,13,COMPUTERS & ACCESSORIES,772030,07-Aug-20,,,90174,90174,YTML-Stitching-YTM-07-General-General-General,,,20.0,,,,,1000.0,17899,17899,CABLE (LAN CABLE) CAT-6E 3M (Consumable-Local),RFT,20000.0,0.0,,,,,1000.0,20000.0,,38086160.02,,,783755340.3,
1331,93,CHEMICAL,12,"LUBRICATION, OIL GREASE, & CHEMICAL",782968,15-Sep-20,,,90174,90174,YTML-Stitching-YTM-07-General-General-General,,,4455.0,,,,,1.0,6281221005,6281221005,A7 DETECTOR DUSTER (SOLO) (L-C) (Consumable-Local),NOS,4455.0,0.0,,,,,1.0,4455.0,,38086160.02,,,783755340.3,
1640,107,CLOSER,19,"HARDWARE MATERIAL, PIPE & FITTINGS",772030,07-Aug-20,,,90174,90174,YTML-Stitching-YTM-07-General-General-General,,,1320.0,,,,,2.0,4119,4119,DOOR CLOSER MODEL KTC (KGI) (Consumable-Local),NOS,2640.0,4.0,,,,,2.0,2640.0,,38086160.02,,,783755340.3,
1684,144,CROCKERY,21,GENERAL MATERIAL,762137,13-Jun-20,,,90174,90174,YTML-Stitching-YTM-07-General-General-General,,,350.0,,,,,24.0,21706,21706,DINNER PLATE LARGE (Consumable-Local),NOS,8400.0,0.0,,,,,72.0,18300.0,,38086160.02,,,783755340.3,
1685,144,CROCKERY,21,GENERAL MATERIAL,762137,13-Jun-20,,,90174,90174,YTML-Stitching-YTM-07-General-General-General,,,60.0,,,,,12.0,16503,16503,SPOON (RICE SPOON) (Consumable-Local),NOS,720.0,0.0,,,,,72.0,18300.0,,38086160.02,,,783755340.3,
1686,144,CROCKERY,21,GENERAL MATERIAL,762137,13-Jun-20,,,90174,90174,YTML-Stitching-YTM-07-General-General-General,,,65.0,,,,,12.0,41877,41877,WATER GLASS (GOOD QUALITY) FOR GUEST/CUSTOMER (Consumable-Local),NOS,780.0,0.0,,,,,72.0,18300.0,,38086160.02,,,783755340.3,
1687,144,CROCKERY,21,GENERAL MATERIAL,762137,13-Jun-20,,,90174,90174,YTML-Stitching-YTM-07-General-General-General,,,350.0,,,,,24.0,21705,21705,DINNER PLATE DEEP (Consumable-Local),NOS,8400.0,0.0,,,,,72.0,18300.0,,38086160.02,,,783755340.3,
1693,144,CROCKERY,21,GENERAL MATERIAL,772030,07-Aug-20,,,90174,90174,YTML-Stitching-YTM-07-General-General-General,,,60.0,,,,,12.0,16503,16503,SPOON (RICE SPOON) (Consumable-Local),NOS,720.0,0.0,,,,,25.0,3000.0,,38086160.02,,,783755340.3,
